"","Fire_ID","mtbs_cast_id","modis_id","n","mtbs_acres","mtbs_hectares","mtbs_year","modis_ha","modis_acres","west_or_east"
"177","ID4320111610420010808","ID4320111610420010808","NA",0,1561.82847023137,632.052085750115,2001,NA,NA,"w"
"178","ID4320111610420010808","ID4320111610420010808_9224","NA",0,76.8486182272252,31.0996568210441,2001,NA,NA,"w"
"179","ID4326411581120010601","ID4326411581120010601","200100563 200100558",2,1036.81290138346,419.584973217297,2001,493.0487,1218.3498705,"w"
"180","ID4342311455520010903","ID4342311455520010903","200100533 200100537",2,18505.0447258463,7488.75586455252,2001,8338.9541,20606.0043315,"w"
"181","ID4343411599820010717","ID4343411599820010717","200100539",1,4596.46077027872,1860.12911936025,2001,514.4856,1271.321604,"w"
"182","ID4380611639220010815","ID4380611639220010815","NA",0,1368.88638334703,553.970881079692,2001,NA,NA,"w"
"183","ID4380811646520010815","ID4380811646520010815","200100505",1,2462.70782224891,996.626483198217,2001,42.8738,105.943467,"w"
"184","ID4396511666920010714","ID4396511666920010714","200100492",1,2270.45165605292,918.822861892418,2001,85.7476,211.886934,"w"
"185","ID4423511668720010910","ID4423511668720010910","NA",0,128.330412453079,51.9336831170231,2001,NA,NA,"w"
"186","ID4423511668720010910","ID4423511668720010910_9526","200100465",1,2150.89138578148,870.438343593356,2001,857.476,2118.86934,"w"
"187","ID4468211531120010724","ID4468211531120010724","200100411 200100412 200100415 200100423",4,23435.3173257657,9483.97437893529,2001,7009.8663,17321.7568545,"w"
"188","ID4510511550120010812","ID4510511550120010812","200100382",1,2577.20363954232,1042.96148189321,2001,643.107,1589.152005,"w"
"189","ID4545011614520010805","ID4545011614520010805","200100358",1,3549.36762215054,1436.38386124555,2001,1136.1557,2807.5018755,"w"
"190","ID4584411598320010909","ID4584411598320010909","200100311",1,1307.37351210786,529.077405702442,2001,364.4273,900.5194695,"w"
"191","ID4587611488820010725","ID4587611488820010725","NA",0,2539.91301584624,1027.87044152912,2001,NA,NA,"w"
"192","ID4598311669620010710","ID4598311669620010710","200100293",1,1708.70029784762,691.489243384351,2001,171.4952,423.773868,"w"
"193","ID4611211498520010917","ID4611211498520010917","NA",0,25.7758635052227,10.4311636015143,2001,NA,NA,"w"
"194","ID4611211498520010917","ID4611211498520010917_9982","200100275",1,4007.8422257712,1621.92269281709,2001,257.2428,635.660802,"w"
"195","ID4628811474720010914","ID4628811474720010914","NA",0,595.408743053112,240.95433339413,2001,NA,NA,"w"
"196","ID4628811474720010914","ID4628811474720010914_10023","NA",0,151.993799268716,61.5099543131292,2001,NA,NA,"w"
